,mse,rmse,mae,mape,r2
Stock A,47926.41502051772,218.92102461965072,171.46444652660472,3.8824373597581276,0.643002383215681
Stock B,4700.8512423815755,68.56275404606772,53.77074997360642,2.470315388930402,0.17743479935244544
Stock C,5531.887189591254,74.37665755861347,56.54836359797298,2.074069994933035,-0.1499278683032459
Stock D,284.543856527767,16.8684278024885,12.961607567039696,3.432610455303436,0.7762474034752676
Stock E,71594.16369756364,267.570857339815,220.99384765625,2.963760455488175,0.5235178082491143
Stock F,4635.514951194377,68.0846161125579,50.5849813925253,3.6613638318043638,0.8166142660419902
Stock G,8059.052076311371,89.7722233004807,72.05020850929056,2.074730600141788,0.4629826379857983
Stock H,323.6608608452915,17.990577001455275,15.794036081674937,18.98692840146631,-5.24733792035247
Stock I,2154.554944288373,46.417183717760956,37.42365986592067,4.067130569175202,0.6008555858172885
Stock J,3523.0441642342375,59.355237041344864,47.10375712626689,2.7398012408077173,0.5652659826336891
Stock K,662.5754772505093,25.740541510436593,21.178761250263932,4.675461559115924,0.4924853646853421
Stock L,323.5410047526897,17.98724561328637,15.343726616936761,10.876646741894255,-4.319751985114544
Stock M,4625.891859709088,68.01390931058945,54.69744510135134,4.605268596692926,0.40891615466818654
Stock O,21819.884856001103,147.71555387297948,119.46307801942568,2.117223665530158,0.7063375023500806
Stock P,1027.2301820009368,32.0504318535794,28.416934802081133,71.7556448389027,-403.70545501157073
Stock Q,1318.7199107732965,36.314183327913305,29.569845663534686,4.013902811465715,-0.2324784408005538
Stock R,540.104150606532,23.240140933448146,20.218814086914065,9.801548862860942,-0.9090045629434444
Stock S,13809.518615990715,117.51390818107751,95.49608055320948,3.721498429775153,0.48833611111086617
Stock T,47012.46471299964,216.82357969787242,160.8182815139358,5.713457580518934,0.6303304971106971
